RAGIONE SOCIALE; INDIRIZZO;PROVINCIA;COMUNE;CAP;TELEFONO;WHATSAPP;EMAIL;SITO INTERNET;DETAILS LINK
Ananda S.r.l. in Liquidazione;Viale Abruzzi, 32;MI;Milano;51557;02 29404341;;;;https://www.paginegialle.it/milano-mi/imprese-edili/impresa-minotti
Anda Costruzioni;5, Via Metauro;MI;Milano;51557;02 22225238;;;;https://www.paginegialle.it/milano-mi/imprese-edili/anda-costruzioni
Apa Costruzioni Generali S.r.l.;Via dei Piatti, 2;MI;Milano;51557;335 6064808;335 6064808;;;https://www.paginegialle.it/milano-mi/imprese-edili/apa-costruzioni-generali-s-r-l
A.R. Costruzioni Generali S.r.l.;Via Romano Giulio, 23;MI;Milano;51557;02 58308007;;;;https://www.paginegialle.it/milano-mi/imprese-edili/a.r.-costruzioni-generali
Arc Line S.r.l.;Via Rembrandt Paolo, 27;MI;Milano;51557;333 5719743;333 5719743;;;https://www.paginegialle.it/milano-mi/imprese-edili/arc-line-s-r-l
Arc Line S.r.l.;Via Pisanello, 16;MI;Milano;51557;;;;;https://www.paginegialle.it/milano-mi/imprese-edili/arc-line
Archetipo S.r.l.;Corso Lodi, 90;MI;Milano;51557;02 57300723;;;;https://www.paginegialle.it/milano-mi/stucchi-decorativi/archetipo
Archetipo S.r.l.;Piazza Ghirlandaio Domenico, 7;MI;Milano;51557;02 57300723;;;;https://www.paginegialle.it/milano-mi/imprese-edili/archetipo-s-r-l
Archi R.E.D. Group;3, Via Giovanni Ventura;MI;Milano;51557;02 37901263;;;;https://www.paginegialle.it/milano-mi/imprese-edili/archi-r-e-d-group
Archingegno ( Servizi per L'Edilizia ) S.r.l.;Via Rugabella, 10;MI;Milano;51557;02 87197623, 328 3615990, 095 8998879, 02 87197645;328 3615990;;;https://www.paginegialle.it/milano-mi/imprese-edili/archingegno-servizi-edilizia
Arco Impresa Edile di Donno;7, Via Delle Azalee;MI;Milano;51557;02 4158420;;;;https://www.paginegialle.it/milano-mi/imprese-edili/arco-impresa-edile-donno
Arcobaleno S.r.l.;Via Palmanova, 135;MI;Milano;51557;02 26301603, 02 26306848;;;;https://www.paginegialle.it/milano-mi/arcobaleno
Arcon di Alfredo Rafael Condori Cuya;Via Colonna Marco Antonio, 12;MI;Milano;51557;02 50306404;;;;https://www.paginegialle.it/milano-mi/arcon-alfredo-rafael-condori-cuya
Arcon di Alfredo Rafael Condori Cuya;Via Bassi Paolo, 22;MI;Milano;51557;02 51826346;;;;https://www.paginegialle.it/milano-mi/imprese-edili/arcon-alfredo-rafael-condori-cuya
Ark 3p Real Estate Societa' a Responsabilita'Limitata Semplificata;Via Sammartini Giovanni Battista, 23;MI;Milano;51557;02 80897637, 02 49429614;;;;https://www.paginegialle.it/milano-mi/ark-3p-real-estate-societa-responsabilita-limitata
Art & Co Srl;14, Viale Coni Zugna;MI;Milano;51557;02 48516519;;;;https://www.paginegialle.it/milano-mi/art-co
Art Edil Ristrutturazioni di Vigliarolo Fabio;Via Castel Morrone, 19;MI;Milano;51557;329 6166174;329 6166174;;;https://www.paginegialle.it/milano-mi/imprese-edili/art-edil-ristrutturazioni-di-vigliarolo-fabio
Arte e Ambienti S.r.l.;Viale Monte Grappa, 14;MI;Milano;51557;02 27015995;;;;https://www.paginegialle.it/milano-mi/imprese-edili/arte-ambiente
Artecasa S.r.l.;Via Amadeo Giovanni Antonio, 40;MI;Milano;51557;02 35943480, 800 660841, 02 38230698;;;;https://www.paginegialle.it/milano-mi/imprese-edili/artecasa
Artedile Due Semplificata;Via Corrado II Il Salico, 8;MI;Milano;51557;02 84800241, 393 9608595;393 9608595;;;https://www.paginegialle.it/milano-mi/imprese-edili/artedile-due-semplificata
A.S. Costruzioni S.r.l.;Via Sardegna, 32;MI;Milano;51557;335 5653015;335 5653015;;;https://www.paginegialle.it/milano-mi/imprese-edili/a-s-costruzioni-s-r-l
As Gen.Co S.r.l.;Via Traiano Marco Ulpio, 35/A;MI;Milano;51557;02 64135384;;;;https://www.paginegialle.it/milano-mi/imprese-edili/as-gen-co-s-r-l
As Gen.Co S.r.l.;Via Montefeltro, 6;MI;Milano;51557;02 46515413;;;;https://www.paginegialle.it/milano-mi/as-gen-co
Edilizia Futura S.a.s. di Piazzolla Ursula e C.;Via dei Ciclamini, 18;MI;Milano;51557;334 2205974;334 2205974;;;https://www.paginegialle.it/milano-mi/a-s-d-accademia-calcio-milano
Aseco S.a.s. di Alessandro Sesini & C.;Corso S. Gottardo, 3;MI;Milano;51557;02 58106801;;;;https://www.paginegialle.it/milano-mi/imprese-edili/aseco-s-a-s-di-alessandro-sesini-and-c
Aseco S.r.l.;Corso S. Gottardo, 3;MI;Milano;51557;02 58106801, 02 700400809;;;;https://www.paginegialle.it/milano-mi/impresa-edile-aseco
Aseco S.r.l.;Viale Bacchiglione, 20;MI;Milano;51557;02 58106801, 02 700400809;;;;https://www.paginegialle.it/milano-mi/imprese-edili/aseco-s-r-l
Taclab di Panizza Matteo;Via Castelbarco Gian Carlo;MI;Milano;51557;338 5363967, 334 1016916;338 5363967, 334 1016916;;;https://www.paginegialle.it/milano-mi/imprese-edili/ask-teo
Associazione Cooperativa Muratori & Affini Ravenna Societa' Coo Perativa per Azioni Brevemente;Via Rogoredo, 8;MI;Milano;51557;02 51627184;;;;https://www.paginegialle.it/milano-mi/imprese-edili/acmar-s-c-p-a_2
Astaldi S.p.a.;Via Carbonera Azzo, 1;MI;Milano;51557;393 9257928;393 9257928;;;https://www.paginegialle.it/milano-mi/imprese-edili/astaldi-s-p-a
Asti S.r.l.;Via Campazzino, 47;MI;Milano;51557;02 89509992, 02 84810594, 02 89513184;;;;https://www.paginegialle.it/milano-mi/imprese-edili/asti-lattoneria-edile
A.T. Marmo Service S.r.l.;Via Ferraris Galileo, 11;MI;Milano;51557;02 9307167, 335 6156424;335 6156424;;;https://www.paginegialle.it/milano-mi/a-t-marmo-service
A.T. Toptaglio S.r.l.;Via Taormina, 2;MI;Milano;51557;02 72546769;;;;https://www.paginegialle.it/milano-mi/imprese-edili/a-t-toptaglio-s-r-l
Atena - S.r.l.;Via Maroncelli Pietro, 17;MI;Milano;51557;02 58103715;;;;https://www.paginegialle.it/milano-mi/imprese-edili/atena-s-r-l
Attia Group Srl Costruzioni Generali;Via Monte S. Genesio, 2;MI;Milano;51557;02 61876474;;;;https://www.paginegialle.it/milano-mi/imprese-edili/attia-group-srl-costruzioni-generali
Attila Group S.r.l.;Via Varesina, 213;MI;Milano;51557;380 2693009;380 2693009;;;https://www.paginegialle.it/milano-mi/attila-group-s-r-l
Aurora Costruzioni Srls;Via Montenapoleone, 8;MI;Milano;51557;02 30316610;;;;https://www.paginegialle.it/milano-mi/imprese-edili/aurora-costruzioni-srls
Ausglobe Team S.r.l.;Via Ponte Seveso, 19;MI;Milano;51557;346 4028375;346 4028375;;;https://www.paginegialle.it/milano-mi/ingegneria/ausglobe-team
Az Costruzioni S.r.l.;Via Settembrini Luigi, 3;MI;Milano;51557;02 87128551, 02 87128552, 02 87128553;;;;https://www.paginegialle.it/milano-mi/az-costruzioni-az-costruzioni
B e B di Brasi e C. S.n.c.;Viale Sturzo Don Luigi, 18;MI;Milano;51557;336 801902, 348 7107372;336 801902, 348 7107372;;;https://www.paginegialle.it/milano-mi/imprese-edili/brasi-c
B V R  Costruzioni Edili Scrl;Via degli Umiliati, 2;MI;Milano;51557;02 58012981, 02 99982118, 02 99982119;;;;https://www.paginegialle.it/milano-mi/imprese-edili/b.v.r.-costruzioni-edili
Baldi Group S.r.l.;Viale Testi Fulvio, 33/5;MI;Milano;51557;02 6438442;;;;https://www.paginegialle.it/milano-mi/imprese-edili/baldi-group-s-r-l
Baumont S.r.l.;Via San Gregorio, 4;MI;Milano;51557;338 8485010;338 8485010;;;https://www.paginegialle.it/milano-mi/imprese-edili/baumont-s-r-l
Baumont S.r.l.;Via Santa Croce, 4;MI;Milano;51557;338 8485010;338 8485010;;;https://www.paginegialle.it/milano-mi/baumont
Be.Edil S.r.l.s.;Via Cascina Bellaria, 97;MI;Milano;51557;02 4523611;;;;https://www.paginegialle.it/milano-mi/be-edil
Belcastro Costruzioni;Corso Como, 5;MI;Milano;51557;;;;;https://www.paginegialle.it/milano-mi/imprese-edili/belcastro-costruzioni
Bellani Ing. Guido e C. S.p.a. Impresa di Costruzioni Edili;Via Mascheroni Lorenzo, 23;MI;Milano;51557;02 4691814, 02 4984712, 02 4984752;;;;https://www.paginegialle.it/milano-mi/imprese-edili/bellani-ing.-guido-c.-impresa-costruzi
Belloni Impresa Edile S.r.l.;Via Domenichino, 16;MI;Milano;51557;02 48009130;;;;https://www.paginegialle.it/milano-mi/imprese-edili/belloni-impresa-edile
Belpiave 4 S.a.s. di Corinna Ricco e C.;Via Bellotti Felice, 1;MI;Milano;51557;02 29519831;;;;https://www.paginegialle.it/milano-mi/belpiave-4-corinna-ricco-c.
Bencini e Ricciardi S.r.l. Restauri Edili;Via Novara, 15;MI;Milano;51557;335 8297989;335 8297989;;;https://www.paginegialle.it/milano-mi/imprese-edili/bencini-e-ricciardi-s-r-l-restauri-edili
Impresa Ingg. Bertani Baselli &C.;Via De Cristoforis Carlo, 12;MI;Milano;51557;02 29002256, 02 6599881;;;;https://www.paginegialle.it/milano-mi/industriale-manutenzione/impresa-ingg.bertani-baselli-c.
Bevacqua S.r.l. Global Services;( Ge;MI;Milano;51557;02 2552182;;;;https://www.paginegialle.it/milano-mi/imprese-edili/bevacqua-s-r-l-global-services
Bew Group S.r.l.;Viale Gran Sasso, 15;MI;Milano;51557;800 034283;;;;https://www.paginegialle.it/milano-mi/imprese-edili/bew-group-s-r-l
Bi Tre Costruzioni S.r.l.;Via Monti Vincenzo, 71;MI;Milano;51557;02 87244613, 02 87244612;;;;https://www.paginegialle.it/milano-mi/imprese-edili/bi-tre-costruzioni-s-r-l
Bianchi Ristrutturazioni di Bianchi Silvano & C. S.a.s.;Piazza Ss. TrinitÃ , 9;MI;Milano;51557;391 7220012;391 7220012;;;https://www.paginegialle.it/milano-mi/imprese-edili/bianchi-ristrutturazioni-di-bianchi-silvano-and-c-s
